ID,Gender,Race,Age_at_Release,Residence_PUMA,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years,Recidivism_Arrest_Year1,Recidivism_Arrest_Year2,Recidivism_Arrest_Year3
10803,M,WHITE,23-27,4,false,10,High,High School Diploma,0,Property,More than 3 years,9,6 or more,1,5 or more,0,5 or more,false,false,1,4 or more,true,3 or more,0,false,false,false,false,false,true,false,false,false,false,false,false,0,0,0,3 or more,,,,,,0,0,false,true,false,true,false
10805,M,WHITE,33-37,12,false,6,High,At least some college,1,Violent/Non-Sex,Greater than 2 to 3 years,10 or more,5,3 or more,5 or more,2,1,false,false,2,2,true,2,1,true,false,false,false,false,true,false,true,false,false,false,false,0,0,0,0,39,0,0,0,0,0.774358974,1,false,false,false,false,false
10806,M,BLACK,23-27,21,false,10,Standard,Less than HS diploma,1,Other,Less than 1 year,8,6 or more,2,5 or more,3,4,true,true,3 or more,3,false,3 or more,2 or more,false,false,false,false,false,true,true,true,false,false,false,false,0,10 or more,1,0,13.48,0.039999999,0,0,0.039999999,0,0,false,true,true,false,false
10807,M,BLACK,48 or older,4,false,5,Standard,High School Diploma,0,Property,1-2 years,10 or more,6 or more,0,5 or more,3,5 or more,false,false,3 or more,2,false,3 or more,1,true,false,false,false,false,true,true,false,false,false,false,false,4 or more,2,0,1,,0,0,0,0,0,0,false,false,false,false,false
10809,F,BLACK,43-47,15,,4,Standard,At least some college,1,Property,Less than 1 year,10 or more,3,0,5 or more,0,5 or more,false,false,1,2,false,3 or more,0,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,2,104.6666667,0,0,0,0,0.691082803,0.58160828,false,false,false,false,false
10810,M,BLACK,28-32,9,false,7,High,High School Diploma,0,Other,Less than 1 year,10 or more,3,2,1,5 or more,5 or more,true,true,2,3,true,0,2 or more,false,false,true,false,false,true,false,false,false,false,false,false,0,0,0,0,23.7,0,0,0,0,0.05907173,1,false,true,true,false,false
10812,M,BLACK,43-47,19,false,4,Standard,At least some college,3 or more,Drug,Less than 1 year,10 or more,6 or more,0,1,3,5 or more,false,false,0,3,false,0,2 or more,false,false,false,false,false,true,false,false,false,false,false,false,0,0,0,0,20.66666667,0,0,0,0,0.387096774,1,false,true,true,false,false
10815,M,BLACK,33-37,20,false,3,Standard,Less than HS diploma,3 or more,Other,Greater than 2 to 3 years,7,6 or more,2,1,5 or more,3,false,true,3 or more,4 or more,true,1,2 or more,true,false,true,true,false,true,true,false,false,false,false,false,4 or more,7,3 or more,0,56.38888889,0.055555556,0,0,0,0,0,false,false,false,false,false
10816,M,BLACK,23-27,5,true,6,Standard,Less than HS diploma,0,Property,More than 3 years,4,3,2,3,0,2,false,false,0,2,true,0,0,false,false,false,false,false,true,true,true,true,true,false,false,2,9,3 or more,0,88.91666667,0.166666672,0,0,0.083333336,0.507966261,1.711574508,false,false,false,false,false
10817,M,BLACK,23-27,16,false,7,Standard,High School Diploma,1,Drug,1-2 years,6,1,1,1,4,2,false,false,0,2,true,1,1,false,false,false,true,true,true,true,false,true,false,false,true,4 or more,10 or more,3 or more,1,217.25,0.5,0.5,0,0,0.968929804,0.420310702,false,false,false,false,false
10818,M,BLACK,48 or older,15,false,4,Standard,At least some college,3 or more,Drug,More than 3 years,1,0,0,0,1,0,false,false,1,0,false,0,1,false,false,false,false,false,false,false,false,false,false,false,true,0,5,0,3 or more,,0,0.036363635,0,0,,,true,false,false,false,false
10820,M,BLACK,48 or older,8,false,1,,High School Diploma,1,Property,1-2 years,10 or more,2,2,5 or more,1,2,false,true,3 or more,0,true,3 or more,1,false,false,false,true,false,false,true,false,false,false,false,false,0,0,0,0,43.1,0.100000001,0.100000001,0,0,0.819025522,0.847447796,true,false,false,false,false
10821,F,WHITE,33-37,3,,5,Specialized,At least some college,2,Property,More than 3 years,2,0,0,1,1,0,false,false,0,0,false,1,0,false,false,false,false,false,true,true,true,true,true,false,false,0,10 or more,0,3 or more,43.51020408,0.040816326,0,0.020408163,0.020408163,0.302532833,0.342636023,false,false,false,false,false
10822,M,BLACK,48 or older,10,false,3,Standard,Less than HS diploma,2,Drug,More than 3 years,3,0,0,0,2,1,false,false,1,0,false,0,1,false,false,false,false,false,false,false,false,false,true,true,false,4 or more,6,0,0,238.3,0,0,0,0,0,0,true,true,false,false,true
10824,M,BLACK,28-32,6,true,8,High,High School Diploma,0,,1-2 years,4,2,0,1,2,2,false,true,1,0,false,0,1,false,false,true,false,false,true,false,false,false,false,false,false,0,0,0,1,,,,,,0.397839784,0.657515752,false,true,true,false,false
10829,M,WHITE,23-27,3,false,9,Specialized,At least some college,0,Property,More than 3 years,4,0,0,1,1,1,false,false,2,0,false,1,1,false,false,false,false,false,true,true,true,false,false,false,true,2,4,0,2,119.7,0.200000003,0,0,0,0.461988304,0.610275689,false,true,false,true,false
10830,M,BLACK,23-27,5,false,10,Specialized,High School Diploma,0,Property,More than 3 years,3,2,0,3,1,1,false,false,0,0,false,2,0,true,false,false,false,true,true,true,true,true,false,false,false,0,0,0,0,280.75,0.25,0,0,0,0,0,false,true,true,false,false
10832,F,WHITE,38-42,18,,7,High,Less than HS diploma,0,Property,Less than 1 year,10 or more,6 or more,1,5 or more,2,5 or more,false,false,1,4 or more,true,2,0,true,false,false,false,false,true,true,true,false,false,false,false,0,0,0,1,21.72727273,0.090909094,0,0.090909094,0,0.054393305,1,false,false,false,false,false
10833,M,BLACK,23-27,10,false,8,High,Less than HS diploma,1,Other,Less than 1 year,6,1,0,0,1,3,false,true,2,0,false,0,1,false,false,true,false,false,false,true,false,false,false,false,false,0,6,0,0,8.888888889,0.111111112,0,0,0,0.5875,1,false,true,true,false,false
10835,M,WHITE,28-32,16,false,6,High,Less than HS diploma,1,Drug,1-2 years,8,6 or more,2,3,4,3,true,false,2,4 or more,false,3 or more,2 or more,false,false,false,false,false,true,false,false,false,true,false,true,0,7,1,2,11.84,0,0,0,0,1,3,false,true,false,false,true
10836,M,BLACK,33-37,2,false,5,Standard,High School Diploma,2,Property,Less than 1 year,10 or more,2,3 or more,5 or more,0,4,false,false,2,2,true,1,0,true,false,false,false,true,true,false,false,false,false,false,false,0,10 or more,3 or more,0,34.09090909,0.090909094,0,0,0,0,0,false,true,false,false,true
10837,F,WHITE,38-42,16,,4,Standard,Less than HS diploma,3 or more,Drug,Less than 1 year,8,1,1,2,2,1,true,false,2,0,false,1,1,false,false,false,false,false,true,true,false,false,true,false,false,1,10 or more,3 or more,0,13.3255814,0,0,0.023255814,0,0.506108202,0.637434555,true,true,true,false,false
10838,M,WHITE,23-27,8,false,9,Specialized,High School Diploma,1,Property,More than 3 years,3,1,0,4,0,0,false,false,2,0,false,2,0,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,0,47,0,0,0,0,0.595744681,1,false,true,true,false,false
10839,M,BLACK,48 or older,6,false,8,High,Less than HS diploma,3 or more,Violent/Non-Sex,Less than 1 year,10 or more,6 or more,3 or more,5 or more,5 or more,5 or more,false,false,3 or more,4 or more,true,3 or more,1,true,false,false,false,false,true,true,false,false,false,false,false,0,0,0,0,5.666666667,0.333333343,0,0,0,0,0,false,true,true,false,false
10844,M,WHITE,48 or older,1,false,4,Standard,Less than HS diploma,3 or more,Property,Less than 1 year,7,6 or more,0,0,3,5 or more,false,true,3 or more,3,false,0,2 or more,false,false,false,false,false,true,false,false,false,false,false,false,0,6,0,1,74.4,0,0,0,0,0.793010753,0.490927419,false,false,false,false,false
10845,M,BLACK,28-32,5,false,4,Standard,High School Diploma,3 or more,Property,Less than 1 year,9,3,1,1,5 or more,5 or more,true,false,3 or more,3,true,0,2 or more,true,false,false,true,false,true,false,false,false,false,false,true,4 or more,1,3 or more,0,178.5,0.5,0,0,0,1,2,false,true,false,true,false
10846,M,BLACK,43-47,23,false,5,Standard,High School Diploma,1,Property,1-2 years,10 or more,6 or more,3 or more,5 or more,2,4,false,true,3 or more,3,true,3 or more,1,true,false,false,false,false,false,true,false,false,false,false,false,0,0,0,0,36,0,0,0,0,0.666666667,1,false,true,false,false,true
10847,M,BLACK,28-32,1,true,9,Specialized,At least some college,3 or more,Property,More than 3 years,1,3,1,0,2,0,false,true,0,0,true,0,0,false,false,true,false,false,false,false,false,false,false,false,false,0,0,0,2,110.4,0,0,0,0,0.685688406,0.661684783,false,false,false,false,false
10848,M,BLACK,33-37,12,false,5,Specialized,At least some college,0,Violent/Non-Sex,More than 3 years,2,0,1,0,1,0,false,false,1,0,true,0,0,false,false,false,false,false,false,false,false,false,false,false,true,0,0,0,2,44.25714286,0,0,0,0,1,0.471594577,false,false,false,false,false
10849,M,BLACK,43-47,17,false,1,Specialized,High School Diploma,3 or more,Violent/Non-Sex,More than 3 years,10 or more,0,1,0,4,3,false,false,3 or more,1,true,0,2 or more,true,false,true,false,true,false,true,true,false,false,false,false,0,0,0,0,,,,,,1,2.756603774,false,false,false,false,false
10850,M,WHITE,38-42,22,false,6,High,At least some college,3 or more,Violent/Non-Sex,More than 3 years,4,5,3 or more,0,2,1,true,true,1,0,true,0,1,false,true,false,false,false,false,false,false,false,false,false,false,0,5,1,1,71.85714286,0,0,0,0,1,0.726143141,false,false,false,false,false
10852,M,BLACK,18-22,5,false,10,Specialized,Less than HS diploma,0,Property,More than 3 years,2,0,0,1,0,0,false,false,2,0,false,1,0,false,false,false,false,false,false,true,true,true,false,false,false,0,7,2,0,37,0.333333343,0,0,0,0,0,false,true,false,false,true
10853,M,WHITE,38-42,4,false,8,High,High School Diploma,2,Property,1-2 years,10 or more,6 or more,0,5 or more,0,5 or more,false,false,3 or more,4 or more,false,3 or more,0,true,false,false,false,true,true,true,false,false,false,false,false,1,7,0,0,17,0,0,0,0,0.92733564,2,false,true,true,false,false
10854,M,BLACK,28-32,2,false,7,Standard,High School Diploma,3 or more,Drug,Less than 1 year,9,6 or more,0,0,5 or more,4,false,false,1,1,false,0,2 or more,true,false,false,false,false,false,false,false,false,false,false,false,0,0,0,0,95,0.200000003,0,0,0,0,0,false,true,true,false,false
10855,M,BLACK,48 or older,8,false,4,Specialized,High School Diploma,2,Violent/Sex,More than 3 years,3,6 or more,0,4,0,3,false,false,0,4 or more,false,2,0,false,false,false,false,false,false,false,false,false,false,false,false,4 or more,10 or more,0,0,27.98387097,0,0,0,0,0.871469741,0.631556196,false,false,false,false,false
10856,M,WHITE,43-47,23,false,3,Standard,High School Diploma,0,Property,Less than 1 year,9,0,0,5 or more,1,3,false,false,2,0,false,2,1,false,false,false,false,false,true,false,false,false,false,false,false,4 or more,0,0,0,25.1,0,0.100000001,0,0,0,0,false,true,false,true,false
10857,M,BLACK,43-47,6,false,5,Standard,Less than HS diploma,1,Property,Greater than 2 to 3 years,10 or more,3,0,5 or more,4,3,false,true,3 or more,2,false,3 or more,0,false,false,false,false,false,true,true,false,false,false,false,false,4 or more,0,0,0,,,,,,0,0,false,true,true,false,false
10858,M,BLACK,23-27,12,false,10,Specialized,High School Diploma,0,Violent/Non-Sex,Greater than 2 to 3 years,2,1,2,1,0,0,false,false,0,1,true,0,0,false,false,true,false,false,false,true,true,false,false,false,false,0,0,0,1,99,0.333333343,0,0,0,0.067340067,1,false,true,true,false,false
10860,M,BLACK,23-27,16,true,9,Specialized,Less than HS diploma,0,Violent/Non-Sex,Greater than 2 to 3 years,10 or more,4,2,5 or more,0,5 or more,true,false,1,4 or more,true,2,0,true,false,false,false,false,true,true,true,false,false,false,false,0,2,0,0,46.4,0.200000003,0,0,0,0.974137931,1,true,true,true,false,false
10862,M,BLACK,28-32,19,true,9,High,Less than HS diploma,3 or more,,Greater than 2 to 3 years,5,6 or more,0,0,4,3,false,true,3 or more,4 or more,false,0,2 or more,true,false,false,true,false,true,false,false,false,false,false,false,0,10 or more,3 or more,0,137.2,0.13333334,0,0,0,0.176870748,0.709912536,false,true,false,true,false
10864,M,WHITE,33-37,17,false,6,High,High School Diploma,3 or more,Violent/Non-Sex,Less than 1 year,8,6 or more,3 or more,0,5 or more,4,true,false,3 or more,4 or more,true,0,2 or more,true,true,false,false,false,true,false,false,false,false,false,false,0,7,0,0,27.16666667,0,0,0,0,0.987730061,1,true,false,false,false,false
10865,F,BLACK,38-42,12,,8,Standard,At least some college,0,Violent/Non-Sex,1-2 years,10 or more,6 or more,3 or more,5 or more,0,5 or more,false,false,2,4 or more,true,1,0,true,false,false,true,true,true,true,true,false,false,true,false,4 or more,7,2,1,32.94285714,0,0.057142857,0,0,0.598438855,0.316782307,true,true,false,true,false
10868,M,WHITE,28-32,17,false,5,Standard,Less than HS diploma,1,Property,1-2 years,6,1,3 or more,1,0,3,true,true,2,2,true,0,0,true,false,true,false,true,true,false,false,false,false,false,false,0,10 or more,0,0,17.92,0.039999999,0,0,0,1,0.815290179,false,true,false,false,true
10869,M,WHITE,28-32,17,false,10,Standard,High School Diploma,2,Drug,Less than 1 year,6,5,1,2,4,5 or more,false,false,2,0,false,0,2 or more,false,false,false,false,false,true,false,false,false,false,false,false,0,2,0,1,74.4,0,0,0,0,0.932795699,1.963709677,false,true,false,false,true
10870,F,BLACK,28-32,14,,,,Less than HS diploma,3 or more,Property,1-2 years,7,6 or more,0,5 or more,0,5 or more,false,false,1,1,false,3 or more,0,false,false,false,false,true,false,true,false,false,false,false,false,4 or more,0,0,1,25.7,0,0,0,0,0,0,false,true,false,true,false
10871,F,WHITE,33-37,16,,5,Standard,High School Diploma,0,Violent/Non-Sex,More than 3 years,1,0,1,0,0,0,false,false,1,0,true,0,0,false,false,false,false,false,true,true,true,true,false,false,true,0,8,0,3 or more,49,0,0,0,0,0.891836735,0.745408163,false,false,false,false,false
10872,M,WHITE,23-27,7,true,7,High,High School Diploma,3 or more,Violent/Non-Sex,Less than 1 year,5,4,3 or more,0,1,3,false,true,0,4 or more,true,0,0,false,false,false,true,false,false,false,false,false,true,false,true,4 or more,0,0,3 or more,32.83333333,0,0,0,0.166666672,0,0,false,true,true,false,false
10873,M,BLACK,28-32,25,false,5,Standard,Less than HS diploma,3 or more,,Less than 1 year,9,3,1,1,4,5 or more,false,false,3 or more,2,true,1,1,true,false,false,false,true,true,false,false,false,false,false,false,0,5,1,0,54.77777778,0,0,0,0.055555556,1,0.740872211,false,false,false,false,false
10875,M,BLACK,23-27,11,true,10,Specialized,High School Diploma,0,Violent/Non-Sex,Greater than 2 to 3 years,7,3,0,3,5 or more,1,false,true,1,2,false,2,0,false,false,false,false,false,true,true,true,false,true,false,false,0,1,0,1,21.85714286,0.285714298,0.142857149,0,0,0,0,false,true,true,false,false
10877,M,BLACK,23-27,8,false,9,Specialized,High School Diploma,0,Violent/Non-Sex,Greater than 2 to 3 years,4,1,2,0,2,0,true,false,1,0,false,1,1,false,true,false,false,true,true,true,true,false,false,false,false,0,3,0,2,,,,,,0,0,false,true,true,false,false
10878,F,WHITE,28-32,3,,10,Specialized,High School Diploma,2,Drug,Greater than 2 to 3 years,6,1,0,2,4,3,false,false,1,0,false,1,2 or more,false,false,false,false,false,true,false,false,false,false,false,false,0,6,1,1,133.6428571,0,0,0,0,0.85515767,0.195216462,true,false,false,false,false
10879,M,BLACK,33-37,11,false,10,Specialized,High School Diploma,2,Drug,Less than 1 year,10 or more,6 or more,3 or more,4,0,5 or more,false,false,2,4 or more,true,2,0,true,false,false,false,false,false,true,false,false,true,false,false,4 or more,2,0,3 or more,154.6,0.200000003,0,0,0,0.820181113,1.417529107,false,true,true,false,false
10880,M,BLACK,23-27,22,true,8,Specialized,Less than HS diploma,0,Violent/Non-Sex,More than 3 years,2,0,2,0,0,0,false,true,1,0,true,0,0,false,false,false,false,false,true,false,true,true,true,false,false,4 or more,0,0,0,5.7,0.100000001,0,0,0,0,0,false,true,true,false,false
10881,M,WHITE,23-27,7,true,8,Specialized,High School Diploma,0,Violent/Non-Sex,Greater than 2 to 3 years,4,3,2,1,2,1,false,false,0,1,true,1,0,false,false,false,false,false,true,true,true,true,false,false,false,0,0,0,0,251.5,0,0,0,0,0.429423459,1.452286282,true,true,false,true,false
10883,M,BLACK,28-32,3,false,5,Standard,At least some college,1,Drug,1-2 years,3,5,0,0,5 or more,1,false,false,0,1,false,0,1,false,false,false,false,false,true,false,false,false,false,false,false,0,1,0,0,596,0,0,0,0,1,1.225671141,false,false,false,false,false
10884,M,WHITE,23-27,18,true,6,Specialized,Less than HS diploma,1,Violent/Non-Sex,More than 3 years,3,1,1,2,0,2,false,false,1,1,false,1,0,false,false,false,false,true,true,true,true,false,true,false,true,4 or more,10 or more,3 or more,2,22.1,0.13333334,0,0.06666667,0.083333336,0.417043741,1.377262443,false,false,false,false,false
10885,M,WHITE,28-32,3,false,8,High,Less than HS diploma,2,Property,Greater than 2 to 3 years,4,1,0,3,1,0,false,false,1,0,false,2,0,false,false,false,true,true,false,false,false,false,false,false,false,0,0,0,1,115.4117647,0,0,0,0,0.815494393,0.18616208,false,false,false,false,false
10887,F,WHITE,33-37,17,,4,Specialized,At least some college,3 or more,Violent/Non-Sex,More than 3 years,3,1,1,2,0,0,false,false,1,0,true,0,0,false,false,false,false,false,false,false,false,false,true,false,false,0,10 or more,3 or more,2,30.36111111,0.083333336,0,0,0.027777778,0.668801464,1.336688015,false,false,false,false,false
10888,M,BLACK,23-27,2,false,4,Standard,Less than HS diploma,1,Violent/Non-Sex,Less than 1 year,10 or more,6 or more,2,2,4,5 or more,false,true,3 or more,2,true,0,2 or more,false,true,false,false,false,false,true,true,false,false,true,true,4 or more,0,0,1,26.16666667,0.166666672,0.166666672,0,0.5,0,0,false,true,true,false,false
10889,M,BLACK,28-32,6,false,7,Standard,High School Diploma,2,Other,Less than 1 year,10 or more,6 or more,0,5 or more,1,5 or more,false,false,0,1,false,1,1,true,false,false,false,true,false,false,false,false,false,false,false,0,0,0,0,,,,,,0.144021739,0.992527174,false,true,true,false,false
10891,M,BLACK,28-32,10,true,6,Standard,High School Diploma,0,Property,Less than 1 year,10 or more,2,1,3,3,4,false,true,3 or more,0,false,2,2 or more,false,false,false,false,true,false,false,false,false,false,false,false,0,0,0,2,71.8,0,0,0,0,1,3,false,true,true,false,false
10892,M,WHITE,33-37,7,false,8,High,Less than HS diploma,3 or more,Drug,Less than 1 year,9,4,0,2,5 or more,4,false,false,3 or more,1,false,3 or more,1,true,false,false,true,false,true,true,false,false,false,false,false,0,0,0,0,,,,,,0,0,false,true,false,true,false
10895,M,WHITE,43-47,19,false,3,Standard,High School Diploma,1,Drug,Greater than 2 to 3 years,10 or more,6 or more,3 or more,1,5 or more,1,true,false,3 or more,4 or more,false,1,2 or more,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,1,184.1538462,0,0,0,0,0.66833751,0.152568922,false,false,false,false,false
10897,M,WHITE,23-27,4,false,9,Specialized,Less than HS diploma,2,Property,More than 3 years,2,4,1,1,2,0,true,false,1,3,false,1,1,false,false,false,false,false,true,true,true,false,false,false,false,0,3,0,1,27.21621622,0,0,0,0,0.100297915,0.362711023,false,true,true,false,false
10898,M,WHITE,23-27,15,false,7,High,High School Diploma,0,Drug,Less than 1 year,3,4,2,0,2,2,false,false,3 or more,4 or more,true,0,2 or more,true,false,false,false,true,true,false,false,false,true,false,true,4 or more,10 or more,1,0,15.47619048,0.023809524,0,0,0,1,2.247692308,false,true,false,false,true
10899,F,WHITE,28-32,4,,5,Standard,Less than HS diploma,2,,Less than 1 year,7,0,0,1,4,2,false,false,0,0,false,1,1,false,false,false,false,false,true,false,false,false,false,false,false,0,1,0,0,6.851851852,0,0,0,0,0,0,false,false,false,false,false
10900,M,WHITE,48 or older,12,false,4,Standard,At least some college,3 or more,Violent/Non-Sex,More than 3 years,4,2,3 or more,0,0,2,false,false,1,0,true,0,0,false,false,false,true,false,false,false,false,false,false,false,false,0,0,0,0,,,,,,0,0,false,false,false,false,false
10901,M,WHITE,28-32,9,false,8,High,At least some college,0,Other,1-2 years,9,6 or more,1,5 or more,1,1,false,false,1,0,true,0,0,false,false,true,false,false,false,false,false,false,false,false,false,4 or more,7,2,0,39.4375,0,0,0.125,0,1,1.157686212,false,true,false,true,false
10902,M,BLACK,23-27,20,true,7,Specialized,High School Diploma,0,Property,Greater than 2 to 3 years,2,2,2,1,0,1,false,true,1,1,false,2,0,false,false,false,false,false,true,true,true,true,false,false,false,0,0,0,0,243.5,0,0,0,0,1,1.5,false,true,false,true,false
10903,M,WHITE,23-27,16,true,6,High,At least some college,0,Property,Less than 1 year,8,0,0,4,1,1,false,false,1,0,false,2,0,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,0,,,,,,0.959459459,2,false,true,false,true,false
10905,F,BLACK,23-27,1,,6,High,High School Diploma,3 or more,Drug,More than 3 years,1,0,0,0,1,0,false,false,0,0,false,0,1,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,3 or more,,0.06666667,0,0,0,,,false,false,false,false,false
10906,M,WHITE,23-27,5,true,9,Specialized,High School Diploma,3 or more,Property,1-2 years,3,4,1,2,0,1,false,false,1,1,false,2,0,false,false,false,false,true,false,true,false,false,false,false,true,4 or more,0,0,3 or more,228.2,0.200000003,0,0,0,0.62751972,0.320113935,true,true,false,false,true
10908,M,BLACK,23-27,23,false,10,Specialized,At least some college,3 or more,Drug,Less than 1 year,10 or more,2,1,0,5 or more,2,false,false,2,3,false,1,2 or more,false,false,false,false,false,true,false,false,false,false,false,false,4 or more,0,0,0,72.5,0.5,0.5,0,0,0,0,false,true,false,true,false
10910,M,BLACK,33-37,3,false,4,Standard,Less than HS diploma,3 or more,Property,1-2 years,9,6 or more,1,1,2,5 or more,false,true,2,4 or more,false,1,1,true,false,true,false,false,true,false,true,false,false,true,false,0,0,0,1,139.5,0,0,0,0,0.318996416,1,false,false,false,false,false
10911,M,BLACK,23-27,6,true,5,Standard,Less than HS diploma,0,Violent/Non-Sex,Less than 1 year,5,4,2,2,1,3,false,false,0,0,false,0,0,false,false,false,false,false,true,false,false,false,false,false,false,0,2,1,0,112.5,0.5,0,0,0,0,0,false,true,true,false,false
10912,M,WHITE,33-37,16,false,7,Standard,High School Diploma,0,Property,Less than 1 year,10 or more,6 or more,2,5 or more,0,5 or more,true,true,3 or more,4 or more,true,3 or more,0,true,true,false,false,false,true,false,false,false,false,false,false,0,0,0,0,,,,,,0,0,true,false,false,false,false
10915,F,BLACK,43-47,3,,6,High,High School Diploma,0,Drug,Less than 1 year,6,6 or more,3 or more,0,3,3,false,false,0,0,false,0,1,false,false,false,true,false,true,false,false,false,false,true,true,2,6,0,0,64.41666667,0,0,0,0,0.60931436,0.472509702,false,false,false,false,false
10917,M,BLACK,23-27,5,false,5,,High School Diploma,0,,Less than 1 year,3,1,0,0,2,2,false,false,1,0,false,0,1,false,false,false,false,true,true,false,false,false,false,false,false,0,0,0,0,199,0,0,0,0,1,1.835427136,false,true,false,true,false
10918,M,WHITE,23-27,16,false,7,High,Less than HS diploma,3 or more,Property,Less than 1 year,10 or more,2,0,5 or more,0,5 or more,false,false,3 or more,4 or more,false,3 or more,0,true,false,false,false,false,false,false,false,false,false,false,false,0,0,0,0,149.3333333,0,0,0,0,1,2.445870536,false,true,false,true,false
10920,M,BLACK,23-27,1,false,6,Standard,High School Diploma,0,Property,Less than 1 year,10 or more,6 or more,1,5 or more,5 or more,3,false,false,1,4 or more,true,2,2 or more,false,false,false,false,false,true,false,false,false,false,false,false,0,0,0,1,,,,,,0,0,false,true,true,false,false
10921,M,BLACK,28-32,23,false,8,High,Less than HS diploma,0,Property,Less than 1 year,3,2,2,1,0,2,false,false,0,0,false,0,0,false,false,false,false,false,true,false,false,false,true,false,false,4 or more,0,0,0,169.5,0.5,0.5,0,0,0,0,false,true,true,false,false
10922,M,BLACK,23-27,18,false,9,Specialized,Less than HS diploma,0,Violent/Non-Sex,1-2 years,5,2,2,1,2,2,true,true,1,0,false,0,1,true,false,true,false,false,true,true,true,false,false,false,false,0,0,0,2,233,0,0,0,0,0.803648069,0.783798283,false,true,false,true,false
10926,M,BLACK,23-27,14,false,7,High,Less than HS diploma,3 or more,,1-2 years,7,6 or more,0,0,5 or more,5 or more,false,false,1,4 or more,true,0,2 or more,true,false,false,false,false,false,true,false,false,false,false,false,0,0,0,0,151.5,0,0,0,0,0.198019802,2,false,false,false,false,false
10927,M,WHITE,28-32,8,false,8,Specialized,Less than HS diploma,3 or more,Drug,More than 3 years,10 or more,6 or more,0,5 or more,4,5 or more,false,false,1,4 or more,false,3 or more,1,false,false,false,false,false,true,false,true,false,false,false,false,0,0,0,3 or more,,,,,,0.23580786,1.063318777,false,true,true,false,false
10929,M,BLACK,23-27,4,true,9,Specialized,Less than HS diploma,0,Violent/Non-Sex,More than 3 years,5,0,2,2,0,0,false,true,0,0,false,0,0,false,false,false,false,false,true,false,false,false,false,false,false,0,0,0,3 or more,27.4,0,0,0,0,0,0,true,true,true,false,false
10930,M,WHITE,48 or older,3,false,3,Specialized,At least some college,0,Violent/Sex,More than 3 years,2,0,0,0,1,0,false,false,1,0,false,0,0,false,false,false,false,false,false,false,false,true,false,false,false,4 or more,10 or more,1,0,41.17647059,0,0,0,0,0,0,false,false,false,false,false
10931,M,BLACK,28-32,2,false,9,Specialized,High School Diploma,1,Other,1-2 years,9,2,1,1,4,3,false,true,3 or more,0,false,1,2 or more,false,false,false,false,false,true,true,false,false,false,false,false,0,6,0,3 or more,86.41666667,0,0,0,0,0.959498554,0.352217936,false,false,false,false,false
10932,M,WHITE,43-47,3,false,3,Standard,Less than HS diploma,0,Drug,1-2 years,3,1,1,0,2,1,false,false,2,1,true,0,2 or more,false,false,false,false,true,true,true,false,false,false,false,false,0,6,0,0,37.83333333,0,0,0,0,1,1,false,false,false,false,false
10933,M,WHITE,33-37,13,false,5,Standard,Less than HS diploma,3 or more,Property,Less than 1 year,10 or more,4,2,4,3,5 or more,false,false,1,1,false,2,0,false,false,false,false,true,true,false,true,false,false,false,false,0,5,0,1,73.8,0,0,0,0,0.653116531,1.979674797,false,true,true,false,false
26665,M,BLACK,43-47,22,false,1,Standard,At least some college,3 or more,,More than 3 years,0,0,0,0,0,0,false,false,0,0,false,0,0,false,false,false,false,false,false,false,false,false,false,false,false,1,0,0,1,400.25,0,0,0,0,0,0,false,false,false,false,false
10934,M,WHITE,48 or older,1,false,3,Standard,High School Diploma,0,Property,Less than 1 year,10 or more,6 or more,1,5 or more,5 or more,4,false,false,3 or more,4 or more,false,3 or more,2 or more,false,false,false,false,true,true,false,false,false,false,false,false,0,0,0,0,125.6666667,0,0,0,0,0.283819629,0.968832891,false,true,true,false,false
